scientificName,canonicalName,authorship,family,epithet,description
Felis youngi Pei,Felis youngi,Pei,Felidae,youngi,a cat named after Young
"Dinobastis serus (Cope, 1893)",Dinobastis serus,"(Cope, 1893) ",Felidae,serus,a cat that resembles late-flowering
"Homotherium latidens (Owen, 1846)",Homotherium latidens,"(Owen, 1846) ",Felidae,latidens,a broad-toothed cat
"Homotherium sainzelli Aymard, 1853",Homotherium sainzelli,"Aymard, 1853",Felidae,sainzelli,a cat named after Sainz
"Homotherium ultimum Teilhard, 1936",Homotherium ultimum,"Teilhard, 1936",Felidae,ultimum,a cat that resembles last or final
"Homotherium venezuelensis Rincón et al., 2011",Homotherium venezuelensis,"Rincón et al., 2011",Felidae,venezuelensis,a cat from Venezuela
"Ischyrosmilus crusafonti (Schultz & Martin, 1970)",Ischyrosmilus crusafonti,"(Schultz & Martin, 1970) ",Felidae,crusafonti,a cat named after Crusafont
"Ischyrosmilus idahoensis (Merriam, 1918)",Ischyrosmilus idahoensis,"(Merriam, 1918) ",Felidae,idahoensis,a cat from Idaho
"Ischyrosmilus johnstoni (Mawby, 1965)",Ischyrosmilus johnstoni,"(Mawby, 1965) ",Felidae,johnstoni,a cat named after Johnston
"Machaerodus ischyrus (Merriam, 1905)",Machaerodus ischyrus,"(Merriam, 1905) ",Felidae,ischyrus,a cat that resembles with equal-colored feet
"Katifelis nightingalei Adrian, Werdelin & Grossman, 2018",Katifelis nightingalei,"Adrian, Werdelin & Grossman, 2018",Felidae,nightingalei,a cat named after the nightingale
"Felis vorohuensis (Berta, 1983)",Felis vorohuensis,"(Berta, 1983) ",Felidae,vorohuensis,a cat from Vorohu
"Leopardus braccatus (Cope, 1889)",Leopardus braccatus,"(Cope, 1889) ",Felidae,braccatus,a trousered or legged cat
"Leopardus colocolo (Molina, 1782)",Leopardus colocolo,"(Molina, 1782) ",Felidae,colocolo,a cat that resembles of the colocolo
"Leopardus ellioti Gray, 1842",Leopardus ellioti,"Gray, 1842",Felidae,ellioti,a cat named after Elliot
"Leopardus geoffroyi (d'Orbigny & Gervais, 1844)",Leopardus geoffroyi,"(d'Orbigny & Gervais, 1844) ",Felidae,geoffroyi,a cat named after Geoffroy
"Leopardus guigna (Molina, 1782)",Leopardus guigna,"(Molina, 1782) ",Felidae,guigna,a cat that resembles small wildcat
"Leopardus guttulus (Hensel, 1872)",Leopardus guttulus,"(Hensel, 1872) ",Felidae,guttulus,a small-spotted cat
"Leopardus hernandesii Gray, 1857",Leopardus hernandesii,"Gray, 1857",Felidae,hernandesii,a cat named after Hernandes
"Leopardus jacobitus (Cornalia, 1865)",Leopardus jacobitus,"(Cornalia, 1865) ",Felidae,jacobitus,a cat named after St. James
"Leopardus japonensis Gray, 1862",Leopardus japonensis,"Gray, 1862",Felidae,japonensis,a cat from Japan
"Leopardus pajeros (Desmarest, 1816)",Leopardus pajeros,"(Desmarest, 1816) ",Felidae,pajeros,a cat that resembles of the straw
"Leopardus pardalis (Linnaeus, 1758)",Leopardus pardalis,"(Linnaeus, 1758) ",Felidae,pardalis,a cat that resembles spotted like a leopard
"Leopardus perniger Gray, 1863",Leopardus perniger,"Gray, 1863",Felidae,perniger,a cat that resembles very black
"Leopardus pictus Gray, 1842",Leopardus pictus,"Gray, 1842",Felidae,pictus,a painted or decorated cat
"Leopardus poliopardus Brehm, 1863",Leopardus poliopardus,"Brehm, 1863",Felidae,poliopardus,a cat that resembles grey leopard
"Leopardus tigrinus (Schreber, 1775)",Leopardus tigrinus,"(Schreber, 1775) ",Felidae,tigrinus,a tiger-striped cat
"Leopardus wiedii (Schinz, 1821)",Leopardus wiedii,"(Schinz, 1821) ",Felidae,wiedii,a cat named after Wied
"Leptailurus serval (Schreber, 1776)",Leptailurus serval,"(Schreber, 1776) ",Felidae,serval,a cat that resembles like a lynx
"Lokotunjailurus emageritus Werdelin, 2003",Lokotunjailurus emageritus,"Werdelin, 2003",Felidae,emageritus,a cat that resembles stomach worker
"Longchuansmilus xingyongi Jiangzuo, 2022",Longchuansmilus xingyongi,"Jiangzuo, 2022",Felidae,xingyongi,a cat named after Xingyong Chen
"Felis issiodorensis (Croizet & Jobert, 1828)",Felis issiodorensis,"(Croizet & Jobert, 1828) ",Felidae,issiodorensis,a cat from Issoire
"Felis longignathus (Shotwell, 1956)",Felis longignathus,"(Shotwell, 1956) ",Felidae,longignathus,a long-jawed cat
"Felis lybiensis Kerr, 1792",Felis lybiensis,"Kerr, 1792",Felidae,lybiensis,a cat from Libya
"Felis montana Kerr, 1792",Felis montana,"Kerr, 1792",Felidae,montana,a cat that resembles of the mountains
"Felis nubiensis Kerr, 1792",Felis nubiensis,"Kerr, 1792",Felidae,nubiensis,a cat from the clouds or from Sudan
"Felis proterolyncis (Savage, 1941)",Felis proterolyncis,"(Savage, 1941) ",Felidae,proterolyncis,a early weasel-like cat
"Felis vulgaris Kerr, 1792",Felis vulgaris,"Kerr, 1792",Felidae,vulgaris,a cat that resembles common or widespread
"Lynx canadensis Kerr, 1792",Lynx canadensis,"Kerr, 1792",Felidae,canadensis,a cat from Canada
Lynx fasciatus,Lynx fasciatus,,Felidae,fasciatus,a banded cat
"Lynx lynx (Linnaeus, 1758)",Lynx lynx,"(Linnaeus, 1758) ",Felidae,lynx,a cat that resembles resembling a lynx
"Lynx pardella Miller, 1907",Lynx pardella,"Miller, 1907",Felidae,pardella,a cat that resembles spotted like a leopard
"Lynx pardinus (Temminck, 1827)",Lynx pardinus,"(Temminck, 1827) ",Felidae,pardinus,a cat that resembles spotted like a leopard
"Lynx rufus (Schreber, 1777)",Lynx rufus,"(Schreber, 1777) ",Felidae,rufus,a cat that resembles reddish
"Lynx spelaea (Boule, 1906)",Lynx spelaea,"(Boule, 1906) ",Felidae,spelaea,a cat that resembles of the caves
"Lynx texensis Allen, 1895",Lynx texensis,"Allen, 1895",Felidae,texensis,a cat from Texas
"Lynx vulgaris Kerr, 1792",Lynx vulgaris,"Kerr, 1792",Felidae,vulgaris,a cat that resembles common or widespread
"Machairodus africanus Arambourg, 1979",Machairodus africanus,"Arambourg, 1979",Felidae,africanus,a cat from Africa
"Machairodus catocopis (Cope, 1887)",Machairodus catocopis,"(Cope, 1887) ",Felidae,catocopis,a dark-eyed cat
"Machairodus giganteus (Wagner, 1848)",Machairodus giganteus,"(Wagner, 1848) ",Felidae,giganteus,a cat that resembles very large
"Machairodus irtyschensis Orlov, 1936",Machairodus irtyschensis,"Orlov, 1936",Felidae,irtyschensis,a cat from the Irtysh River
"Machairodus ischimicus Orlov, 1936",Machairodus ischimicus,"Orlov, 1936",Felidae,ischimicus,a cat from the Ishim River
"Machairodus kabir Peigne et al., 2005",Machairodus kabir,"Peigne et al., 2005",Felidae,kabir,a cat named after the Kabir sect
"Machairodus kurteni Sotnikova, 1991",Machairodus kurteni,"Sotnikova, 1991",Felidae,kurteni,a cat named after Björn Kurtén
"Machairodus lahayishupup Orcutt & Calede, 2021",Machairodus lahayishupup,"Orcutt & Calede, 2021",Felidae,lahayishupup,a cat named after La Haye and Sup
"Machairodus necator Gervais, 1880",Machairodus necator,"Gervais, 1880",Felidae,necator,a cat that resembles killer or murderer
"Machairodus schlosseri Weithofer, 1888",Machairodus schlosseri,"Weithofer, 1888",Felidae,schlosseri,a cat named after Schlosser
"Felis ogygia (Kaup, 1833)",Felis ogygia,"(Kaup, 1833) ",Felidae,ogygia,a cat that resembles ancient or primeval
"Machairodus hesperus (Gazin, 1933)",Machairodus hesperus,"(Gazin, 1933) ",Felidae,hesperus,a cat that resembles western or of the evening
"Megantereon eurynodon Ewer, 1955",Megantereon eurynodon,"Ewer, 1955",Felidae,eurynodon,a broad-jawed cat
"Megantereon falconeri Pomel, 1853",Megantereon falconeri,"Pomel, 1853",Felidae,falconeri,a cat named after Hugh Falconer
"Megantereon gracilis Broom & Schepers, 1946",Megantereon gracilis,"Broom & Schepers, 1946",Felidae,gracilis,a cat that resembles slender or thin
"Megantereon inexpectatus Teilhard de Chardin, 1939",Megantereon inexpectatus,"Teilhard de Chardin, 1939",Felidae,inexpectatus,a unexpected cat
"Megantereon megantereon (Croizet & Jobert, 1828)",Megantereon megantereon,"(Croizet & Jobert, 1828) ",Felidae,megantereon,a cat that resembles large cutting tooth
"Megantereon nihowanensis Teilhard de Chardin & Piveteau, 1930",Megantereon nihowanensis,"Teilhard de Chardin & Piveteau, 1930",Felidae,nihowanensis,a cat from the Nihowan Basin
"Megantereon whitei Broom, 1937",Megantereon whitei,"Broom, 1937",Felidae,whitei,a cat named after White
"Ursus cultridens (Cuvier, 1824)",Ursus cultridens,"(Cuvier, 1824) ",Felidae,cultridens,a knife-toothed cat
"Metailurus parvulus Hensel, 1862",Metailurus parvulus,"Hensel, 1862",Felidae,parvulus,a cat that resembles very small
"Neofelis diardi (G.Cuvier, 1823)",Neofelis diardi,"(G.Cuvier, 1823) ",Felidae,diardi,a cat named after Diard
"Neofelis nebulosa (Griffith, 1821)",Neofelis nebulosa,"(Griffith, 1821) ",Felidae,nebulosa,a cloudy or cloud-like cat
"Nimravides galiani Baskin, 1981",Nimravides galiani,"Baskin, 1981",Felidae,galiani,a cat named after Galiani
"Pseudaelurus hibbardi (Dalquest, 1969)",Pseudaelurus hibbardi,"(Dalquest, 1969) ",Felidae,hibbardi,a cat named after Hibbard
"Pseudaelurus pedionomus (Macdonald, 1948)",Pseudaelurus pedionomus,"(Macdonald, 1948) ",Felidae,pedionomus,a cat that resembles plain-dwelling
"Pseudaelurus thinobates (Macdonald, 1948)",Pseudaelurus thinobates,"(Macdonald, 1948) ",Felidae,thinobates,a cat that resembles dweller in the marshes
"Panthera antiquorum Fitzinger, 1868",Panthera antiquorum,"Fitzinger, 1868",Felidae,antiquorum,a cat that resembles of the ancients
"Panthera balamoides Stinnesbeck et al., 2018",Panthera balamoides,"Stinnesbeck et al., 2018",Felidae,balamoides,a cat that resembles resembling a cat
"Panthera blytheae Tseng et al., 2013",Panthera blytheae,"Tseng et al., 2013",Felidae,blytheae,a cat named after Blythe
"Panthera gombaszoegensis Kretzoï, 1938",Panthera gombaszoegensis,"Kretzoï, 1938",Felidae,gombaszoegensis,a cat from Gombaszög
"Panthera hanensis Matschie, 1908",Panthera hanensis,"Matschie, 1908",Felidae,hanensis,a cat from Mount Han
"Panthera leo (Linnaeus, 1758)",Panthera leo,"(Linnaeus, 1758) ",Felidae,leo,a lion-like cat
"Panthera onca (Linnaeus, 1758)",Panthera onca,"(Linnaeus, 1758) ",Felidae,onca,a spotted or panther-like cat
"Panthera palaeosinensis Qiu et al., 2004",Panthera palaeosinensis,"Qiu et al., 2004",Felidae,palaeosinensis,a cat from ancient China
"Panthera pardus (Linnaeus, 1758)",Panthera pardus,"(Linnaeus, 1758) ",Felidae,pardus,a cat that resembles spotted like a leopard
"Panthera spelaea (Goldfuss, 1810)",Panthera spelaea,"(Goldfuss, 1810) ",Felidae,spelaea,a cat that resembles of the caves
"Panthera tigris (Linnaeus, 1758)",Panthera tigris,"(Linnaeus, 1758) ",Felidae,tigris,a cat that resembles striped like a tiger
"Panthera zdanskyi Mazák, Christiansen & Kitchener, 2011",Panthera zdanskyi,"Mazák, Christiansen & Kitchener, 2011",Felidae,zdanskyi,a cat named after Zdansky
"Machairodus maximiliani (Zdansky, 1924)",Machairodus maximiliani,"(Zdansky, 1924) ",Felidae,maximiliani,a cat named after Maximilian
"Machairodus orientalis (Kittl, 1887)",Machairodus orientalis,"(Kittl, 1887) ",Felidae,orientalis,a cat from the east
"Pardofelis marmorata (Martin, 1837)",Pardofelis marmorata,"(Martin, 1837) ",Felidae,marmorata,a marbled cat
"Pratifelis martini Hibbard, 1934",Pratifelis martini,"Hibbard, 1934",Felidae,martini,a cat named after Martin
"Prionailurus bengalensis (Kerr, 1792)",Prionailurus bengalensis,"(Kerr, 1792) ",Felidae,bengalensis,a cat from Bengal
"Prionailurus iriomotensis (Imaizumi, 1967)",Prionailurus iriomotensis,"(Imaizumi, 1967) ",Felidae,iriomotensis,a cat from Iriomote Island
"Prionailurus planiceps (Vigors & Horsfield, 1827)",Prionailurus planiceps,"(Vigors & Horsfield, 1827) ",Felidae,planiceps,a flat-headed cat
"Prionailurus rubiginosus (I.Geoffroy Saint-Hilaire, 1831)",Prionailurus rubiginosus,"(I.Geoffroy Saint-Hilaire, 1831) ",Felidae,rubiginosus,a rusty-colored cat
"Prionailurus viverrinus (Bennett, 1833)",Prionailurus viverrinus,"(Bennett, 1833) ",Felidae,viverrinus,a weasel-like cat
"Proailurus lemanensis Filhol, 1879",Proailurus lemanensis,"Filhol, 1879",Felidae,lemanensis,a cat from Lake Geneva
"Profelis aurata (Temminck, 1827)",Profelis aurata,"(Temminck, 1827) ",Felidae,aurata,a golden or gilded cat
"Felis intrepidus (Leidy, 1858)",Felis intrepidus,"(Leidy, 1858) ",Felidae,intrepidus,"a cat that resembles fearless, bold"
"Felis quadridentata (de Blainville, 1843)",Felis quadridentata,"(de Blainville, 1843) ",Felidae,quadridentata,a four-toothed cat
"Lynx stouti (Schultz & Martin, 1972)",Lynx stouti,"(Schultz & Martin, 1972) ",Felidae,stouti,a cat that resembles stout or sturdy
"Pseudaelurus aeluroides Macdonald, 1954",Pseudaelurus aeluroides,"Macdonald, 1954",Felidae,aeluroides,a cat-like cat
"Pseudaelurus africanus (Andrews, 1914)",Pseudaelurus africanus,"(Andrews, 1914) ",Felidae,africanus,a cat from Africa
"Pseudaelurus cuspidatus Wang et al., 1998",Pseudaelurus cuspidatus,"Wang et al., 1998",Felidae,cuspidatus,a cat that resembles pointed tip
"Pseudaelurus guangheensis Cao et al., 1990",Pseudaelurus guangheensis,"Cao et al., 1990",Felidae,guangheensis,a cat from Guanghe County
"Pseudaelurus lorteti Gaillard, 1899",Pseudaelurus lorteti,"Gaillard, 1899",Felidae,lorteti,a cat named after Lortet
"Pseudaelurus marshi Thorpe, 1922",Pseudaelurus marshi,"Thorpe, 1922",Felidae,marshi,a cat named after Marsh
"Pseudaelurus romieviensis Roman & Viret, 1934",Pseudaelurus romieviensis,"Roman & Viret, 1934",Felidae,romieviensis,a cat from Rome
"Pseudaelurus skinneri Rothwell, 2003",Pseudaelurus skinneri,"Rothwell, 2003",Felidae,skinneri,a cat named after Skinner
"Pseudaelurus turnauensis Hoernes, 1882",Pseudaelurus turnauensis,"Hoernes, 1882",Felidae,turnauensis,a cat from Turnau
"Pseudaelurus validus Rothwell, 2001",Pseudaelurus validus,"Rothwell, 2001",Felidae,validus,a cat that resembles strong or robust
"Pseudailurus africanus (Andrews, 1914)",Pseudailurus africanus,"(Andrews, 1914) ",Felidae,africanus,a cat from Africa
"Felis lacustris (Gazin, 1933)",Felis lacustris,"(Gazin, 1933) ",Felidae,lacustris,a cat that resembles of or near lakes
"Puma concolor (Linnaeus, 1771)",Puma concolor,"(Linnaeus, 1771) ",Felidae,concolor,a uniformly colored cat
"Puma yagouaroundi (_.Geoffroy Saint-Hilaire, 1803)",Puma yagouaroundi,"(_.Geoffroy Saint-Hilaire, 1803) ",Felidae,yagouaroundi,a cat named after the yaguarundi
"Rhizosmilodon fiteae Wallace & Hulbert, 2013",Rhizosmilodon fiteae,"Wallace & Hulbert, 2013",Felidae,fiteae,a cat named after Fite
"Sivapanthera arvernensis Croizet & Jobert, 1828",Sivapanthera arvernensis,"Croizet & Jobert, 1828",Felidae,arvernensis,a cat from the Auvergne region
"Felis fatalis (Leidy, 1868)",Felis fatalis,"(Leidy, 1868) ",Felidae,fatalis,a cat that resembles deadly
"Smilodon crucians Ameghino, 1904",Smilodon crucians,"Ameghino, 1904",Felidae,crucians,a cross-shaped cat
"Smilodon gracilis (Cope, 1880)",Smilodon gracilis,"(Cope, 1880) ",Felidae,gracilis,a cat that resembles slender or thin
"Smilodon populator Lund, 1842",Smilodon populator,"Lund, 1842",Felidae,populator,a cat that resembles one who brings devastation
"Smilodontidion riggii (Kraglievich, 1948)",Smilodontidion riggii,"(Kraglievich, 1948) ",Felidae,riggii,a cat named after Rigg
"Styriofelis vallesiensis Salesa, Antón, Morales & Peigné, 2012",Styriofelis vallesiensis,"Salesa, Antón, Morales & Peigné, 2012",Felidae,vallesiensis,a cat from the Valles region
"Uncia uncia (Schreber, 1775)",Uncia uncia,"(Schreber, 1775) ",Felidae,uncia,a cat that resembles one-twelfth
"Xenosmilus hodsonae Martin et al., 2000",Xenosmilus hodsonae,"Martin et al., 2000",Felidae,hodsonae,a cat named after Hodson
"Metailurus minor (Zdansky, 1924)",Metailurus minor,"(Zdansky, 1924) ",Felidae,minor,a cat that resembles smaller or lesser
"Yoshi garevskii Spassov & Geraads, 2015",Yoshi garevskii,"Spassov & Geraads, 2015",Felidae,garevskii,a cat named after Garevski
"Adelpharctos ginsburgi de Bonis, 2011",Adelpharctos ginsburgi,"de Bonis, 2011",Ursidae,ginsburgi,a bear named after Ginsburg
"Adelpharctos mirus De Bonis, 1971",Adelpharctos mirus,"De Bonis, 1971",Ursidae,mirus,"a bear that resembles wonderful, strange"
"Agriarctos nikolovi Jiangzuo & Spassov, 2022",Agriarctos nikolovi,"Jiangzuo & Spassov, 2022",Ursidae,nikolovi,a bear named after Nikolov
"Agriotherium africanum Hendey, 1972",Agriotherium africanum,"Hendey, 1972",Ursidae,africanum,a bear from Africa
"Agriotherium hendeyi Jiangzuo & Flynn, 2019",Agriotherium hendeyi,"Jiangzuo & Flynn, 2019",Ursidae,hendeyi,a bear named after Hendey
"Agriotherium inexpetans Qiu et al., 1991",Agriotherium inexpetans,"Qiu et al., 1991",Ursidae,inexpetans,a unexpected bear
"Agriotherium schneideri Sellards, 1916",Agriotherium schneideri,"Sellards, 1916",Ursidae,schneideri,a bear named after Schneider
"Agriotherium sivalensis Cautley & Falconer, 1836",Agriotherium sivalensis,"Cautley & Falconer, 1836",Ursidae,sivalensis,a bear from the Sivalik Hills
"Hyaenarctos gregoryi (Frick, 1926)",Hyaenarctos gregoryi,"(Frick, 1926) ",Ursidae,gregoryi,a bear named after Gregory
"Hyaenarctos insignis (Gervais, 1853)",Hyaenarctos insignis,"(Gervais, 1853) ",Ursidae,insignis,a bear that resembles distinctive or remarkable
"Aelureidopus baconi (Woodward, 1915)",Aelureidopus baconi,"(Woodward, 1915) ",Ursidae,baconi,a bear named after Bacon
"Aeluropus fovealis (Matthew & Granger, 1923)",Aeluropus fovealis,"(Matthew & Granger, 1923) ",Ursidae,fovealis,a bear that resembles with a small pit
"Ailuropoda melanoleuca (David, 1869)",Ailuropoda melanoleuca,"(David, 1869) ",Ursidae,melanoleuca,a bear that resembles black and white
"Ailuropoda microta Pei, 1962",Ailuropoda microta,"Pei, 1962",Ursidae,microta,a small-eared bear
"Arctodus floridanus Gidley, 1928",Arctodus floridanus,"Gidley, 1928",Ursidae,floridanus,a bear from Florida
"Arctodus pristinus Leidy, 1854",Arctodus pristinus,"Leidy, 1854",Ursidae,pristinus,a bear that resembles ancient or primitive
Arctodus simus,Arctodus simus,,Ursidae,simus,a flat-nosed bear
"Arctotherium angustidens Gervais & Ameghino, 1880",Arctotherium angustidens,"Gervais & Ameghino, 1880",Ursidae,angustidens,a narrow-toothed bear
"Arctotherium brasiliensis Lund, 1804",Arctotherium brasiliensis,"Lund, 1804",Ursidae,brasiliensis,a bear from Brazil
"Arctotherium tarijense Ameghino, 1902",Arctotherium tarijense,"Ameghino, 1902",Ursidae,tarijense,a bear from Tarija
"Arctotherium wingei Ameghino, 1902",Arctotherium wingei,"Ameghino, 1902",Ursidae,wingei,a bear named after Alfred Russel Wallace
"Ursus bonariensis (Gervais, 1852)",Ursus bonariensis,"(Gervais, 1852) ",Ursidae,bonariensis,a bear from Buenos Aires
"Cephalogale brevirostris Croizet, 1845",Cephalogale brevirostris,"Croizet, 1845",Ursidae,brevirostris,a short-billed bear
"Cephalogale bugtiensis Forster-Cooper, 1923",Cephalogale bugtiensis,"Forster-Cooper, 1923",Ursidae,bugtiensis,a bear from the Bugti Hills
"Cephalogale geoffroyi Jourdan, 1862",Cephalogale geoffroyi,"Jourdan, 1862",Ursidae,geoffroyi,a bear named after Geoffroy
"Cephalogale gergoviensis Viret, 1929",Cephalogale gergoviensis,"Viret, 1929",Ursidae,gergoviensis,a bear from Gergovia
"Cephalogale ginesticus Kuss, 1962",Cephalogale ginesticus,"Kuss, 1962",Ursidae,ginesticus,a bear that resembles of or pertaining to marriage
"Cephalogale meschethense Gabunia, 1964",Cephalogale meschethense,"Gabunia, 1964",Ursidae,meschethense,a bear from Mescheti
"Cephalogale ursinus Bonis, 1973",Cephalogale ursinus,"Bonis, 1973",Ursidae,ursinus,a bear-like bear
"Phoberogale shareri (Wang et al., 2009)",Phoberogale shareri,"(Wang et al., 2009) ",Ursidae,shareri,a bear named after Charles William Sharer
"Cyonarctos dessei de Bonis, 2013",Cyonarctos dessei,"de Bonis, 2013",Ursidae,dessei,a bear named after Desse
"Dinocyon aurelianensis Frick, 1926",Dinocyon aurelianensis,"Frick, 1926",Ursidae,aurelianensis,a bear from Orléans
"Dinocyon sansaniensis Frick, 1926",Dinocyon sansaniensis,"Frick, 1926",Ursidae,sansaniensis,a bear from Sansan
"Dinocyon thenardi Jourdan, 1861",Dinocyon thenardi,"Jourdan, 1861",Ursidae,thenardi,a bear named after Thenard
"Filholictis filholi (Filhol, 1877)",Filholictis filholi,"(Filhol, 1877) ",Ursidae,filholi,a bear named after Filhol
"Helarctos malayanus (Raffles, 1822)",Helarctos malayanus,"(Raffles, 1822) ",Ursidae,malayanus,a bear from Malaya
"Canis ursinus (Cope, 1875)",Canis ursinus,"(Cope, 1875) ",Ursidae,ursinus,a bear-like bear
"Hemicyon barbouri Colbert, 1941",Hemicyon barbouri,"Colbert, 1941",Ursidae,barbouri,a bear named after Barbour
"Hemicyon barstowensis (Frick, 1926)",Hemicyon barstowensis,"(Frick, 1926) ",Ursidae,barstowensis,a bear from Barstow
"Hemicyon goriachensis Toula, 1884",Hemicyon goriachensis,"Toula, 1884",Ursidae,goriachensis,a bear from the Goriac region
"Hemicyon grivensis Frick, 1926",Hemicyon grivensis,"Frick, 1926",Ursidae,grivensis,a bear from Griva
"Hemicyon minor Dépéret, 1887",Hemicyon minor,"Dépéret, 1887",Ursidae,minor,a bear that resembles smaller or lesser
"Hemicyon sansaniensis Lartet, 1851",Hemicyon sansaniensis,"Lartet, 1851",Ursidae,sansaniensis,a bear from Sansan
"Hemicyon statzlingii Frick, 1926",Hemicyon statzlingii,"Frick, 1926",Ursidae,statzlingii,a bear named after Statzling
"Plithocyon armagnacensis Ginsburg, 1955",Plithocyon armagnacensis,"Ginsburg, 1955",Ursidae,armagnacensis,a bear from Armagnac
"Indarctos anthracitis Weithofer, 1888",Indarctos anthracitis,"Weithofer, 1888",Ursidae,anthracitis,a bear that resembles coal-black
"Indarctos arctoides Deperet, 1895",Indarctos arctoides,"Deperet, 1895",Ursidae,arctoides,a bear-like bear
"Indarctos atticus Weithofer, 1888",Indarctos atticus,"Weithofer, 1888",Ursidae,atticus,"a bear from Attica, Greece"
"Indarctos nevadensis Macdonald, 1959",Indarctos nevadensis,"Macdonald, 1959",Ursidae,nevadensis,a bear from the Sierra Nevada
"Indarctos oregonensis Merriam et al., 1916",Indarctos oregonensis,"Merriam et al., 1916",Ursidae,oregonensis,a bear from Oregon
"Indarctos punjabiensis (Lydekker, 1884)",Indarctos punjabiensis,"(Lydekker, 1884) ",Ursidae,punjabiensis,a bear from Punjab
"Indarctos salmontanus Pilgrim, 1913",Indarctos salmontanus,"Pilgrim, 1913",Ursidae,salmontanus,a bear that resembles of or from salmon
"Indarctos vireti Villalta & Crusafont, 1943",Indarctos vireti,"Villalta & Crusafont, 1943",Ursidae,vireti,a bear that resembles of the green places
"Indarctos zdanskyi Qiu & Tedford, 2003",Indarctos zdanskyi,"Qiu & Tedford, 2003",Ursidae,zdanskyi,a bear named after Zdansky
"Agriarctos beatrix (Abella et al., 2011)",Agriarctos beatrix,"(Abella et al., 2011) ",Ursidae,beatrix,a bear that resembles bringer of joy
"Melursus ursinus (Shaw, 1791)",Melursus ursinus,"(Shaw, 1791) ",Ursidae,ursinus,a bear-like bear
"Miomaci pannonicum de Bones et al., 2017",Miomaci pannonicum,"de Bones et al., 2017",Ursidae,pannonicum,a bear from the Pannonian Basin
"Pararctotherium enectum (Ameghino, 1904)",Pararctotherium enectum,"(Ameghino, 1904) ",Ursidae,enectum,a killed or destroyed bear
"Pararctotherium pamparum (Ameghino, 1904)",Pararctotherium pamparum,"(Ameghino, 1904) ",Ursidae,pamparum,a bear that resembles of the plains
"Aelurodon johnhenryi (White, 1947)",Aelurodon johnhenryi,"(White, 1947) ",Ursidae,johnhenryi,a bear named after John Henry
"Amphicyon aurelianensis (Mayet, 1908)",Amphicyon aurelianensis,"(Mayet, 1908) ",Ursidae,aurelianensis,a bear from Orléans
"Phoberocyon huerzeleri Ginsburg, 1955",Phoberocyon huerzeleri,"Ginsburg, 1955",Ursidae,huerzeleri,a bear named after Hürzeler
"Cephalogale bonali (Helbing, 1928)",Cephalogale bonali,"(Helbing, 1928) ",Ursidae,bonali,a bear named after Bonal
"Cephalogale depereti (Viret, 1929)",Cephalogale depereti,"(Viret, 1929) ",Ursidae,depereti,a bear named after Deperet
"Cephalogale gracile (Pomel, 1847)",Cephalogale gracile,"(Pomel, 1847) ",Ursidae,gracile,a slender or thin-bodied bear
"Cephalogale minor (Jourdan, 1862)",Cephalogale minor,"(Jourdan, 1862) ",Ursidae,minor,a bear that resembles smaller or lesser
"Plionarctos edensis Frick, 1926",Plionarctos edensis,"Frick, 1926",Ursidae,edensis,a bear from or of Eden
"Plionarctos harroldorum Tedford & Martin, 2001",Plionarctos harroldorum,"Tedford & Martin, 2001",Ursidae,harroldorum,a bear named after the Harrolds
"Arctotherium vetustum (Ameghino, 1885)",Arctotherium vetustum,"(Ameghino, 1885) ",Ursidae,vetustum,a bear that resembles very ancient
"Tremarctos ornatus (F.G.Cuvier, 1825)",Tremarctos ornatus,"(F.G.Cuvier, 1825) ",Ursidae,ornatus,a decorated or adorned bear
"Ursavus brevirhinus Hofmann, 1887",Ursavus brevirhinus,"Hofmann, 1887",Ursidae,brevirhinus,a short-nosed bear
"Ursavus elmensis Stehlin, 1917",Ursavus elmensis,"Stehlin, 1917",Ursidae,elmensis,a bear from Elm
"Ursavus pawniensis Frick, 1926",Ursavus pawniensis,"Frick, 1926",Ursidae,pawniensis,a bear from Pawn
"Ursavus primaevus Gaillard, 1899",Ursavus primaevus,"Gaillard, 1899",Ursidae,primaevus,a bear that resembles primitive or ancient
"Euarctos optimus Shultz, 1938",Euarctos optimus,"Shultz, 1938",Ursidae,optimus,a bear that resembles best or most excellent
"Thalassarctos spitzbergensis Knotterus-Meyer, 1908",Thalassarctos spitzbergensis,"Knotterus-Meyer, 1908",Ursidae,spitzbergensis,a bear from Spitsbergen
"Ursus abstrusus Bjork, 1970",Ursus abstrusus,"Bjork, 1970",Ursidae,abstrusus,a hidden or concealed bear
"Ursus americanus Pallas, 1780",Ursus americanus,"Pallas, 1780",Ursidae,americanus,a bear from the Americas
"Ursus arctos Linnaeus, 1758",Ursus arctos,"Linnaeus, 1758",Ursidae,arctos,a bear that resembles of the bear
"Ursus arvernensis Croizet & Jobert, 1828",Ursus arvernensis,"Croizet & Jobert, 1828",Ursidae,arvernensis,a bear from the Auvergne region
"Ursus dalli Merriam, 1896",Ursus dalli,"Merriam, 1896",Ursidae,dalli,a bear named after William Healey Dall
"Ursus deningeri Richenau, 1904",Ursus deningeri,"Richenau, 1904",Ursidae,deningeri,a bear named after Deninger
"Ursus dentrificius Meyer, 1839",Ursus dentrificius,"Meyer, 1839",Ursidae,dentrificius,a bear that resembles tooth-cleaning
